iter,exp_value,best_result,iter_time,max_memory
0,202.7435302734375,"""0010000111110111101110011101000101010101111011000010""",10.606230020523071,47265792
1,199.2772674560547,"""0010000111110100101110011101000101010110000100100010""",10.654399871826172,47265792
2,195.81649780273438,"""1010000111110100101110011101000101010110000100100001""",10.60373830795288,47265792
3,191.00003051757812,"""1011111000001011010001100010111010101001111011011101""",10.614036083221436,47265792
4,184.76019287109375,"""1011111000001011010001100010111010101001111011011101""",10.62617039680481,47265792
5,178.08795166015625,"""1011111000001011010001100010111010101001111000100001""",10.599418878555298,47265792
6,172.51795959472656,"""0011111000001011010001100010111010101001111011011110""",10.612289667129517,47265792
7,168.277099609375,"""1011111000001011010001100010111010101001111000100001""",10.619942426681519,47265792
8,165.36410522460938,"""1011111000000100101110011101000101010110000100100001""",10.591143608093262,47265792
9,163.14788818359375,"""0011111000000100101110011101000101010110000111011110""",10.602574825286865,47265792
