run_id,library,N,depth,theta_path,iter_csv
26f5efd9,tensorcircuit_full,4,6,bench_out_comparison_gpu/theta_26f5efd9.pt,bench_out_comparison_gpu/iter_26f5efd9.csv
f7d75798,pennylane_lightning:lightning.gpu,4,6,bench_out_comparison_gpu/theta_f7d75798.pt,bench_out_comparison_gpu/iter_f7d75798.csv
2a47a242,pennylane_tensor:lightning.tensor,4,6,bench_out_comparison_gpu/theta_2a47a242.pt,bench_out_comparison_gpu/iter_2a47a242.csv
6150e068,tensorcircuit_full,4,5,bench_out_comparison_gpu/theta_6150e068.pt,bench_out_comparison_gpu/iter_6150e068.csv
6213b989,pennylane_lightning:lightning.gpu,4,5,bench_out_comparison_gpu/theta_6213b989.pt,bench_out_comparison_gpu/iter_6213b989.csv
7f47d106,pennylane_tensor:lightning.tensor,4,5,bench_out_comparison_gpu/theta_7f47d106.pt,bench_out_comparison_gpu/iter_7f47d106.csv
ecc016db,tensorcircuit_full,4,4,bench_out_comparison_gpu/theta_ecc016db.pt,bench_out_comparison_gpu/iter_ecc016db.csv
b0f7345d,pennylane_lightning:lightning.gpu,4,4,bench_out_comparison_gpu/theta_b0f7345d.pt,bench_out_comparison_gpu/iter_b0f7345d.csv
4653a2f3,pennylane_tensor:lightning.tensor,4,4,bench_out_comparison_gpu/theta_4653a2f3.pt,bench_out_comparison_gpu/iter_4653a2f3.csv
428e1075,tensorcircuit_full,4,3,bench_out_comparison_gpu/theta_428e1075.pt,bench_out_comparison_gpu/iter_428e1075.csv
9c28f65a,pennylane_lightning:lightning.gpu,4,3,bench_out_comparison_gpu/theta_9c28f65a.pt,bench_out_comparison_gpu/iter_9c28f65a.csv
1e2e6cbe,pennylane_tensor:lightning.tensor,4,3,bench_out_comparison_gpu/theta_1e2e6cbe.pt,bench_out_comparison_gpu/iter_1e2e6cbe.csv
7b405687,tensorcircuit_full,4,2,bench_out_comparison_gpu/theta_7b405687.pt,bench_out_comparison_gpu/iter_7b405687.csv
8fe9d3f1,pennylane_lightning:lightning.gpu,4,2,bench_out_comparison_gpu/theta_8fe9d3f1.pt,bench_out_comparison_gpu/iter_8fe9d3f1.csv
3868ce08,pennylane_tensor:lightning.tensor,4,2,bench_out_comparison_gpu/theta_3868ce08.pt,bench_out_comparison_gpu/iter_3868ce08.csv
c4e1d37f,tensorcircuit_full,4,1,bench_out_comparison_gpu/theta_c4e1d37f.pt,bench_out_comparison_gpu/iter_c4e1d37f.csv
00f2ab2b,pennylane_lightning:lightning.gpu,4,1,bench_out_comparison_gpu/theta_00f2ab2b.pt,bench_out_comparison_gpu/iter_00f2ab2b.csv
b8ec2192,pennylane_tensor:lightning.tensor,4,1,bench_out_comparison_gpu/theta_b8ec2192.pt,bench_out_comparison_gpu/iter_b8ec2192.csv
81aa7d4e,tensorcircuit_full,8,6,bench_out_comparison_gpu/theta_81aa7d4e.pt,bench_out_comparison_gpu/iter_81aa7d4e.csv
0b072c42,pennylane_lightning:lightning.gpu,8,6,bench_out_comparison_gpu/theta_0b072c42.pt,bench_out_comparison_gpu/iter_0b072c42.csv
768f1745,pennylane_tensor:lightning.tensor,8,6,bench_out_comparison_gpu/theta_768f1745.pt,bench_out_comparison_gpu/iter_768f1745.csv
