run_id,method,N,depth,seed,theta_path,iter_csv
9f1961f2,tr_correct_sampling,49,1,0,bench_tsp_49/theta_9f1961f2.pt,bench_tsp_49/iter_9f1961f2.csv
24b1c373,tr_efficient,49,1,0,bench_tsp_49/theta_24b1c373.pt,bench_tsp_49/iter_24b1c373.csv
e6a78dda,tr_correct_sampling,49,1,1,bench_tsp_49/theta_e6a78dda.pt,bench_tsp_49/iter_e6a78dda.csv
25718713,tr_efficient,49,1,1,bench_tsp_49/theta_25718713.pt,bench_tsp_49/iter_25718713.csv
1e910b09,tr_correct_sampling,49,1,2,bench_tsp_49/theta_1e910b09.pt,bench_tsp_49/iter_1e910b09.csv
5ac7e812,tr_efficient,49,1,2,bench_tsp_49/theta_5ac7e812.pt,bench_tsp_49/iter_5ac7e812.csv
7a0b57d2,tr_correct_sampling,49,3,0,bench_tsp_49/theta_7a0b57d2.pt,bench_tsp_49/iter_7a0b57d2.csv
0103d68d,tr_efficient,49,3,0,bench_tsp_49/theta_0103d68d.pt,bench_tsp_49/iter_0103d68d.csv
a2b905a7,tr_correct_sampling,49,3,1,bench_tsp_49/theta_a2b905a7.pt,bench_tsp_49/iter_a2b905a7.csv
055516e2,tr_efficient,49,3,1,bench_tsp_49/theta_055516e2.pt,bench_tsp_49/iter_055516e2.csv
0cdae0df,tr_correct_sampling,49,3,2,bench_tsp_49/theta_0cdae0df.pt,bench_tsp_49/iter_0cdae0df.csv
f7118202,tr_efficient,49,3,2,bench_tsp_49/theta_f7118202.pt,bench_tsp_49/iter_f7118202.csv
e5108f6a,tr_correct_sampling,49,5,0,bench_tsp_49/theta_e5108f6a.pt,bench_tsp_49/iter_e5108f6a.csv
6da5c493,tr_efficient,49,5,0,bench_tsp_49/theta_6da5c493.pt,bench_tsp_49/iter_6da5c493.csv
f45b78a2,tr_correct_sampling,49,5,1,bench_tsp_49/theta_f45b78a2.pt,bench_tsp_49/iter_f45b78a2.csv
c6da72c3,tr_efficient,49,5,1,bench_tsp_49/theta_c6da72c3.pt,bench_tsp_49/iter_c6da72c3.csv
ff58fbe5,tr_correct_sampling,49,5,2,bench_tsp_49/theta_ff58fbe5.pt,bench_tsp_49/iter_ff58fbe5.csv
91950536,tr_efficient,49,5,2,bench_tsp_49/theta_91950536.pt,bench_tsp_49/iter_91950536.csv
